file,pesq,stoi
m7_script5_ipad_confroom1_denoised.wav,2.307213306427002,0.8287349937444765
f7_script5_iphone_livingroom1_denoised.wav,1.893602728843689,0.6619595291109425
f2_script5_ipad_confroom2_denoised.wav,2.5715079307556152,0.9367784665231178
m1_script5_ipad_bedroom1_denoised.wav,2.194737195968628,0.7604117317521542
f1_script5_iphone_bedroom1_denoised.wav,2.222831964492798,0.7897645051942999
f10_script5_ipadflat_office1_denoised.wav,2.36417293548584,0.8682629543022459
f6_script5_ipad_confroom2_denoised.wav,2.6661927700042725,0.9227031183854799
f3_script5_ipadflat_office1_denoised.wav,2.221630811691284,0.8582494157458292
f7_script5_ipadflat_confroom1_denoised.wav,1.8949368000030518,0.7004590060483769
f4_script5_ipadflat_confroom1_denoised.wav,2.330089807510376,0.8213203575181082
m8_script5_iphone_balcony1_denoised.wav,0.7973242998123169,0.3545156762362607
m7_script5_iphone_balcony1_denoised.wav,1.184226632118225,0.46847995115529384
f9_script5_ipad_bedroom1_denoised.wav,2.298053026199341,0.7668701862281782
f8_script5_ipad_office2_denoised.wav,2.088078737258911,0.8242919660289243
f8_script5_ipad_confroom1_denoised.wav,2.448331594467163,0.819100646585066
m2_script5_iphone_livingroom1_denoised.wav,2.0190415382385254,0.7694289895281418
m6_script5_ipad_livingroom1_denoised.wav,2.258622169494629,0.7721410973668505
m5_script5_ipad_livingroom1_denoised.wav,2.342785596847534,0.7847846983482634
f10_script5_ipad_confroom1_denoised.wav,2.2749686241149902,0.8013694529499559
f4_script5_iphone_livingroom1_denoised.wav,2.2145578861236572,0.8177584152653198
f6_script5_ipad_balcony1_denoised.wav,0.8863606452941895,0.4133809782413463
m8_script5_ipad_confroom1_denoised.wav,2.3893771171569824,0.7505674936697213
f8_script5_ipad_livingroom1_denoised.wav,2.1655941009521484,0.8151351990310187
f1_script5_ipad_livingroom1_denoised.wav,2.2601590156555176,0.8606098098577993
m7_script5_ipadflat_office1_denoised.wav,2.2372705936431885,0.8448845242777441
f10_script5_ipad_confroom2_denoised.wav,2.682661771774292,0.9142385014610078
f7_script5_ipad_confroom2_denoised.wav,2.454106569290161,0.8644563118399894
f6_script5_ipadflat_confroom1_denoised.wav,1.9471887350082397,0.704902685282683
m5_script5_ipad_bedroom1_denoised.wav,2.2749359607696533,0.7746628632006167
f2_script5_ipad_confroom1_denoised.wav,2.205653429031372,0.7824883133486323
m7_script5_ipad_confroom2_denoised.wav,2.6044907569885254,0.9235110167228545
m4_script5_ipad_confroom1_denoised.wav,2.3600594997406006,0.796218954640865
m4_script5_ipadflat_office1_denoised.wav,2.496509552001953,0.8345711610000335
m4_script5_ipad_livingroom1_denoised.wav,2.372570276260376,0.7739641617340006
m10_script5_iphone_balcony1_denoised.wav,0.4954272210597992,0.3600109902612647
m6_script5_iphone_bedroom1_denoised.wav,2.1348345279693604,0.6662256958945664
f6_script5_ipad_livingroom1_denoised.wav,1.92030668258667,0.699342493881143
f1_script5_ipad_confroom2_denoised.wav,2.6013708114624023,0.9253817175926998
f3_script5_ipad_bedroom1_denoised.wav,2.309305191040039,0.8579213343812974
m3_script5_ipad_confroom2_denoised.wav,2.4450254440307617,0.9114293466267347
f4_script5_ipadflat_office1_denoised.wav,2.388244390487671,0.8802367748404542
m10_script5_ipad_bedroom1_denoised.wav,1.799965739250183,0.702121022756261
m8_script5_ipad_office1_denoised.wav,2.355759620666504,0.8748362545606028
m7_script5_ipad_office2_denoised.wav,2.010509729385376,0.7714544413038168
m9_script5_ipad_confroom1_denoised.wav,2.061706781387329,0.7405631256656527
f5_script5_ipad_office1_denoised.wav,2.5652663707733154,0.8960700147675651
f10_script5_ipad_bedroom1_denoised.wav,2.230093240737915,0.7816050317179472
m1_script5_ipad_balcony1_denoised.wav,1.1850998401641846,0.47297699855797065
m9_script5_iphone_bedroom1_denoised.wav,1.76593017578125,0.618941795988671
m7_script5_ipadflat_confroom1_denoised.wav,2.069239854812622,0.7861241835946396
f5_script5_iphone_balcony1_denoised.wav,1.4331440925598145,0.41863958962235875
m2_script5_ipad_livingroom1_denoised.wav,2.0949881076812744,0.8039181355897972
f9_script5_ipadflat_office1_denoised.wav,2.360931634902954,0.8520172030403749
f7_script5_ipad_confroom1_denoised.wav,2.1664865016937256,0.735097874050751
f3_script5_iphone_bedroom1_denoised.wav,2.282588243484497,0.799785999121882
f7_script5_ipad_office1_denoised.wav,2.228712320327759,0.7830574654356686
m10_script5_iphone_livingroom1_denoised.wav,1.7789236307144165,0.6721031689343461
m7_script5_ipad_livingroom1_denoised.wav,2.0961971282958984,0.7951840655896573
f9_script5_ipad_confroom1_denoised.wav,2.3155734539031982,0.7874631557802584
f1_script5_ipad_bedroom1_denoised.wav,2.276150941848755,0.841529528958372
m5_script5_ipad_office2_denoised.wav,2.2163920402526855,0.7779516556825822
f10_script5_iphone_bedroom1_denoised.wav,2.1520140171051025,0.7271380443263988
f3_script5_ipad_office1_denoised.wav,2.3614842891693115,0.8756267177922912
f8_script5_iphone_bedroom1_denoised.wav,2.111659526824951,0.7431449318964458
m4_script5_ipadflat_confroom1_denoised.wav,2.158748149871826,0.7492484655507666
f1_script5_iphone_balcony1_denoised.wav,1.3847969770431519,0.39846185567717296
f2_script5_iphone_livingroom1_denoised.wav,1.8296619653701782,0.6919598705690463
m1_script5_ipad_office1_denoised.wav,2.3896236419677734,0.8098367452161173
m5_script5_ipadflat_office1_denoised.wav,2.404757261276245,0.8465211456952663
m3_script5_iphone_livingroom1_denoised.wav,1.7641611099243164,0.6275114928579025
